accident_no,atmosph_cond_desc
T20060000010,Clear
T20060000018,Clear
T20060000022,Clear
T20060000023,Clear
T20060000026,Clear
T20060000028,Clear
T20060000035,Clear
T20060000042,Clear
T20060000044,Clear
T20060000046,Clear
T20060000047,Clear
T20060000050,Clear
T20060000066,Clear
T20060000094,Clear
T20060000095,Clear
T20060000096,Not known
T20060000105,Clear
T20060000111,Clear
T20060000114,Clear
T20060000116,Clear
T20060000119,Clear
T20060000126,Clear
T20060000130,Clear
T20060000132,Clear
T20060000133,Clear
T20060000134,Clear
T20060000135,Clear
T20060000141,Clear
T20060000157,Clear
T20060000158,Clear
T20060000192,Clear
T20060000198,Clear
T20060000201,Clear
T20060000202,Clear
T20060000206,Clear
T20060000213,Clear
T20060000226,Clear
T20060000242,Clear
T20060000243,Clear
T20060000245,Clear
T20060000253,Clear
T20060000265,Clear
T20060000270,Clear
T20060000272,Not known
T20060000284,Clear
T20060000286,Clear
T20060000292,Clear
T20060000294,Smoke
T20060000295,Clear
T20060000300,Clear
T20060000302,Clear
T20060000309,Strong winds
T20060000313,Clear
T20060000315,Clear
T20060000317,Clear
T20060000326,Clear
T20060000332,Clear
T20060000337,Clear
T20060000343,Clear
T20060000345,Clear
T20060000359,Clear
T20060000361,Clear
T20060000363,Clear
T20060000367,Clear
T20060000371,Clear
T20060000381,Clear
T20060000398,Clear
T20060000403,Clear
T20060000408,Clear
T20060000414,Clear
T20060000418,Clear
T20060000424,Clear
T20060000426,Clear
T20060000427,Clear
T20060000429,Clear
T20060000431,Clear
T20060000432,Clear
T20060000434,Clear
T20060000438,Clear
T20060000440,Clear
T20060000443,Clear
T20060000447,Clear
T20060000448,Clear
T20060000455,Clear
T20060000458,Clear
T20060000459,Clear
T20060000462,Clear
T20060000468,Clear
T20060000470,Clear
T20060000472,Raining
T20060000472,Strong winds
T20060000476,Raining
T20060000476,Strong winds
T20060000482,Raining
T20060000482,Strong winds
T20060000496,Clear
T20060000506,Clear
T20060000508,Clear
T20060000518,Clear
T20060000524,Clear
T20060000531,Clear
T20060000532,Raining
T20060000535,Clear
T20060000537,Strong winds
T20060000538,Clear
T20060000540,Raining
T20060000541,Clear
T20060000545,Raining
T20060000545,Strong winds
T20060000549,Clear
T20060000552,Clear
T20060000553,Clear
T20060000554,Clear
T20060000560,Clear
T20060000561,Raining
T20060000563,Clear
T20060000566,Raining
T20060000571,Clear
T20060000574,Raining
T20060000576,Clear
T20060000581,Raining
T20060000587,Clear
T20060000592,Raining
T20060000594,Clear
T20060000596,Clear
T20060000602,Raining
T20060000609,Clear
T20060000612,Clear
T20060000614,Raining
T20060000619,Clear
T20060000624,Clear
T20060000625,Clear
T20060000627,Clear
T20060000630,Clear
T20060000631,Clear
T20060000635,Clear
T20060000636,Clear
T20060000641,Clear
T20060000652,Clear
T20060000654,Clear
T20060000661,Clear
T20060000667,Raining
T20060000697,Clear
T20060000705,Clear
T20060000707,Clear
T20060000709,Clear
T20060000710,Clear
T20060000720,Clear
T20060000722,Clear
T20060000724,Clear
T20060000725,Clear
T20060000726,Clear
T20060000727,Clear
T20060000733,Clear
T20060000742,Clear
T20060000751,Clear
T20060000753,Clear
T20060000756,Clear
T20060000758,Clear
T20060000763,Clear
T20060000764,Clear
T20060000765,Clear
T20060000768,Clear
T20060000770,Clear
T20060000783,Raining
T20060000788,Raining
T20060000797,Raining
T20060000819,Raining
T20060000829,Clear
T20060000831,Raining
T20060000835,Raining
T20060000838,Raining
T20060000839,Clear
T20060000841,Raining
T20060000844,Raining
T20060000847,Raining
T20060000856,Raining
T20060000858,Raining
T20060000865,Raining
T20060000867,Raining
T20060000868,Raining
T20060000871,Clear
T20060000876,Clear
T20060000877,Clear
T20060000879,Clear
T20060000882,Clear
T20060000884,Clear
T20060000894,Clear
T20060000907,Clear
T20060000914,Clear
T20060000917,Clear
T20060000921,Clear
T20060000935,Clear
T20060000946,Clear
T20060000950,Clear
T20060000953,Raining
T20060000960,Clear
T20060000961,Clear
T20060000963,Clear
T20060000969,Clear
T20060000972,Clear
T20060000975,Clear
T20060000978,Raining
T20060000980,Clear
T20060000998,Clear
T20060001001,Not known
T20060001005,Clear
T20060001006,Clear
T20060001008,Not known
T20060001010,Clear
T20060001011,Clear
T20060001024,Clear
T20060001027,Clear
T20060001031,Clear
T20060001035,Clear
T20060001038,Clear
T20060001051,Clear
T20060001060,Clear
T20060001062,Clear
T20060001070,Clear
T20060001072,Clear
T20060001073,Clear
T20060001079,Clear
T20060001085,Clear
T20060001088,Clear
T20060001091,Clear
T20060001098,Clear
T20060001099,Clear
T20060001100,Clear
T20060001101,Clear
T20060001103,Clear
T20060001106,Clear
T20060001108,Clear
T20060001111,Clear
T20060001112,Clear
T20060001113,Clear
T20060001120,Clear
T20060001128,Clear
T20060001132,Clear
T20060001138,Clear
T20060001141,Clear
T20060001142,Clear
T20060001143,Clear
T20060001147,Clear
T20060001150,Clear
T20060001156,Clear
T20060001160,Clear
T20060001162,Clear
T20060001164,Clear
T20060001170,Clear
T20060001172,Clear
T20060001175,Clear
T20060001178,Clear
T20060001180,Clear
T20060001191,Clear
T20060001196,Clear
T20060001198,Clear
T20060001200,Clear
T20060001201,Clear
T20060001209,Clear
T20060001210,Clear
T20060001231,Clear
T20060001238,Clear
T20060001252,Clear
T20060001253,Clear
T20060001255,Clear
T20060001258,Clear
T20060001260,Clear
T20060001262,Clear
T20060001264,Not known
T20060001265,Clear
T20060001270,Clear
T20060001276,Clear
T20060001290,Clear
T20060001297,Clear
T20060001305,Clear
T20060001311,Clear
T20060001315,Clear
T20060001324,Clear
T20060001339,Clear
T20060001341,Clear
T20060001347,Clear
T20060001353,Clear
T20060001360,Clear
T20060001363,Clear
T20060001365,Raining
T20060001366,Clear
T20060001369,Clear
T20060001374,Clear
