accident_no,surface_cond_desc
T20060000010,Dry
T20060000018,Dry
T20060000022,Dry
T20060000023,Dry
T20060000026,Dry
T20060000028,Dry
T20060000035,Dry
T20060000042,Dry
T20060000044,Dry
T20060000046,Dry
T20060000047,Dry
T20060000050,Dry
T20060000066,Dry
T20060000094,Dry
T20060000095,Dry
T20060000096,Dry
T20060000105,Dry
T20060000111,Dry
T20060000114,Dry
T20060000116,Dry
T20060000119,Dry
T20060000126,Dry
T20060000130,Dry
T20060000132,Dry
T20060000133,Dry
T20060000134,Dry
T20060000135,Dry
T20060000141,Dry
T20060000157,Dry
T20060000158,Dry
T20060000192,Dry
T20060000198,Dry
T20060000201,Dry
T20060000202,Dry
T20060000206,Dry
T20060000213,Dry
T20060000226,Dry
T20060000242,Dry
T20060000243,Dry
T20060000245,Dry
T20060000253,Dry
T20060000265,Dry
T20060000270,Wet
T20060000272,Dry
T20060000284,Dry
T20060000286,Dry
T20060000292,Dry
T20060000294,Dry
T20060000295,Dry
T20060000300,Dry
T20060000302,Dry
T20060000309,Dry
T20060000313,Dry
T20060000315,Dry
T20060000317,Dry
T20060000326,Dry
T20060000332,Dry
T20060000337,Dry
T20060000343,Dry
T20060000345,Dry
T20060000359,Dry
T20060000361,Dry
T20060000363,Dry
T20060000367,Dry
T20060000371,Dry
T20060000381,Dry
T20060000398,Dry
T20060000403,Dry
T20060000408,Dry
T20060000414,Unknown
T20060000418,Dry
T20060000424,Dry
T20060000426,Unknown
T20060000427,Dry
T20060000429,Dry
T20060000431,Dry
T20060000432,Dry
T20060000434,Dry
T20060000438,Dry
T20060000440,Dry
T20060000443,Dry
T20060000447,Dry
T20060000448,Dry
T20060000455,Dry
T20060000458,Dry
T20060000459,Dry
T20060000462,Dry
T20060000468,Dry
T20060000470,Dry
T20060000472,Wet
T20060000476,Wet
T20060000482,Wet
T20060000496,Dry
T20060000506,Dry
T20060000508,Dry
T20060000518,Dry
T20060000524,Wet
T20060000531,Dry
T20060000532,Wet
T20060000535,Dry
T20060000537,Wet
T20060000538,Dry
T20060000540,Wet
T20060000541,Wet
T20060000545,Wet
T20060000549,Dry
T20060000552,Dry
T20060000553,Dry
T20060000554,Wet
T20060000560,Dry
T20060000561,Wet
T20060000563,Dry
T20060000566,Wet
T20060000571,Dry
T20060000574,Wet
T20060000576,Dry
T20060000581,Wet
T20060000587,Wet
T20060000592,Wet
T20060000594,Wet
T20060000596,Unknown
T20060000602,Wet
T20060000609,Dry
T20060000612,Wet
T20060000614,Wet
T20060000619,Dry
T20060000624,Dry
T20060000625,Dry
T20060000627,Dry
T20060000630,Dry
T20060000631,Dry
T20060000635,Dry
T20060000636,Dry
T20060000641,Dry
T20060000652,Dry
T20060000654,Dry
T20060000661,Dry
T20060000667,Wet
T20060000697,Dry
T20060000705,Dry
T20060000707,Dry
T20060000709,Dry
T20060000710,Dry
T20060000720,Dry
T20060000722,Dry
T20060000724,Dry
T20060000725,Dry
T20060000726,Dry
T20060000727,Dry
T20060000733,Dry
T20060000742,Dry
T20060000751,Dry
T20060000753,Dry
T20060000756,Dry
T20060000758,Dry
T20060000763,Dry
T20060000764,Dry
T20060000765,Dry
T20060000768,Dry
T20060000770,Dry
T20060000783,Wet
T20060000788,Wet
T20060000797,Wet
T20060000819,Wet
T20060000829,Dry
T20060000831,Wet
T20060000835,Wet
T20060000835,Muddy
T20060000838,Wet
T20060000839,Dry
T20060000841,Wet
T20060000844,Wet
T20060000847,Unknown
T20060000856,Wet
T20060000858,Wet
T20060000865,Wet
T20060000867,Wet
T20060000868,Wet
T20060000871,Wet
T20060000876,Dry
T20060000877,Dry
T20060000879,Wet
T20060000882,Wet
T20060000884,Dry
T20060000894,Dry
T20060000907,Dry
T20060000914,Dry
T20060000917,Dry
T20060000921,Dry
T20060000935,Dry
T20060000946,Dry
T20060000950,Dry
T20060000953,Wet
T20060000953,Muddy
T20060000960,Dry
T20060000961,Dry
T20060000963,Dry
T20060000969,Dry
T20060000972,Dry
T20060000975,Dry
T20060000978,Wet
T20060000980,Dry
T20060000998,Dry
T20060001001,Unknown
T20060001005,Dry
T20060001006,Dry
T20060001008,Wet
T20060001010,Dry
T20060001011,Dry
T20060001024,Dry
T20060001027,Dry
T20060001031,Unknown
T20060001035,Dry
